last time, this time, pub duration
1.73904e+09,1.73904e+09,3.348
1.73904e+09,1.73904e+09,0.33167
1.73904e+09,1.73904e+09,0.256794
1.73904e+09,1.73904e+09,0.186834
1.73904e+09,1.73904e+09,0.221776
1.73904e+09,1.73904e+09,0.18803
1.73904e+09,1.73904e+09,0.221703
1.73904e+09,1.73904e+09,0.173961
1.73904e+09,1.73904e+09,0.174008
1.73904e+09,1.73904e+09,0.202455
1.73904e+09,1.73904e+09,0.148397
1.73904e+09,1.73904e+09,0.163861
1.73904e+09,1.73904e+09,0.134702
1.73904e+09,1.73904e+09,0.173129
1.73904e+09,1.73904e+09,0.143153
1.73904e+09,1.73904e+09,0.132313
1.73904e+09,1.73904e+09,0.175772
1.73904e+09,1.73904e+09,0.130634
1.73904e+09,1.73904e+09,0.145958
1.73904e+09,1.73904e+09,0.17123
1.73904e+09,1.73904e+09,0.137406
1.73904e+09,1.73904e+09,0.140121
1.73904e+09,1.73904e+09,0.172718
1.73904e+09,1.73904e+09,0.141196
1.73904e+09,1.73904e+09,0.17846
1.73904e+09,1.73904e+09,0.142817
1.73904e+09,1.73904e+09,0.144389
1.73904e+09,1.73904e+09,0.218119
1.73904e+09,1.73904e+09,0.130815
1.73904e+09,1.73904e+09,0.151127
1.73904e+09,1.73904e+09,0.175088
1.73904e+09,1.73904e+09,0.1784
1.73904e+09,1.73904e+09,0.143552
1.73904e+09,1.73904e+09,0.181195
1.73904e+09,1.73904e+09,0.175562
1.73904e+09,1.73904e+09,0.155111
1.73904e+09,1.73904e+09,0.150241
1.73904e+09,1.73904e+09,0.160206
1.73904e+09,1.73904e+09,0.181834
1.73904e+09,1.73904e+09,0.18075
1.73904e+09,1.73904e+09,0.172154
1.73904e+09,1.73904e+09,0.146852
1.73904e+09,1.73904e+09,0.260284
1.73904e+09,1.73904e+09,0.14193
1.73904e+09,1.73904e+09,0.175111
1.73904e+09,1.73904e+09,0.127288
1.73904e+09,1.73904e+09,0.177883
1.73904e+09,1.73904e+09,0.147729
1.73904e+09,1.73904e+09,0.163943
1.73904e+09,1.73904e+09,0.180274
1.73904e+09,1.73904e+09,0.141973
1.73904e+09,1.73904e+09,0.130744
1.73904e+09,1.73904e+09,0.222818
1.73904e+09,1.73904e+09,0.18412
1.73904e+09,1.73904e+09,0.197501
1.73904e+09,1.73904e+09,0.206355
1.73904e+09,1.73904e+09,0.192267
1.73904e+09,1.73904e+09,0.164414
1.73904e+09,1.73904e+09,0.187885
1.73904e+09,1.73904e+09,0.218695
1.73904e+09,1.73904e+09,0.143917
1.73904e+09,1.73904e+09,0.144099
1.73904e+09,1.73904e+09,0.174159
1.73904e+09,1.73904e+09,0.222229
1.73904e+09,1.73904e+09,0.277606
1.73904e+09,1.73904e+09,0.174756
1.73904e+09,1.73904e+09,0.156986
1.73904e+09,1.73904e+09,0.144516
1.73904e+09,1.73904e+09,0.155498
1.73904e+09,1.73904e+09,0.150442
1.73904e+09,1.73904e+09,0.138827
1.73904e+09,1.73904e+09,0.183401
1.73904e+09,1.73904e+09,0.18014
1.73904e+09,1.73904e+09,0.14603
1.73904e+09,1.73904e+09,0.148575
1.73904e+09,1.73904e+09,0.167708
1.73904e+09,1.73904e+09,0.140301
1.73904e+09,1.73904e+09,0.140986
1.73904e+09,1.73904e+09,0.172818
1.73904e+09,1.73904e+09,0.177827
1.73904e+09,1.73904e+09,0.173077
1.73904e+09,1.73904e+09,0.275759
1.73904e+09,1.73904e+09,0.212816
1.73904e+09,1.73904e+09,0.236909
1.73904e+09,1.73904e+09,0.306383
1.73904e+09,1.73904e+09,0.273085
1.73904e+09,1.73904e+09,0.202586
1.73904e+09,1.73904e+09,0.22067
1.73904e+09,1.73904e+09,0.173857
1.73904e+09,1.73904e+09,0.22454
1.73904e+09,1.73904e+09,0.20257
1.73904e+09,1.73904e+09,0.181384
1.73904e+09,1.73904e+09,0.179419
1.73904e+09,1.73904e+09,0.0811684
1.73904e+09,1.73904e+09,0.0946879
1.73904e+09,1.73904e+09,0.0903406
1.73904e+09,1.73904e+09,0.181622
1.73904e+09,1.73904e+09,0.128426
1.73904e+09,1.73904e+09,0.184044
1.73904e+09,1.73904e+09,0.187963
1.73904e+09,1.73904e+09,0.202354
