last time, this time, pub duration
1.71121e+09,1.71121e+09,0.051108
1.71121e+09,1.71121e+09,0.04363
1.71121e+09,1.71121e+09,0.175976
1.71121e+09,1.71121e+09,0.14289
1.71121e+09,1.71121e+09,0.14872
1.71121e+09,1.71121e+09,0.164628
1.71121e+09,1.71121e+09,0.136978
1.71121e+09,1.71121e+09,0.147227
1.71121e+09,1.71121e+09,0.168053
1.71121e+09,1.71121e+09,0.136541
1.71121e+09,1.71121e+09,0.144555
1.71121e+09,1.71121e+09,0.166531
1.71121e+09,1.71121e+09,0.136295
1.71121e+09,1.71121e+09,0.148595
1.71121e+09,1.71121e+09,0.16069
1.71121e+09,1.71121e+09,0.140979
1.71121e+09,1.71121e+09,0.150188
1.71121e+09,1.71121e+09,0.162209
1.71121e+09,1.71121e+09,0.140561
1.71121e+09,1.71121e+09,0.169519
1.71121e+09,1.71121e+09,0.135163
1.71121e+09,1.71121e+09,0.143228
1.71121e+09,1.71121e+09,0.176102
1.71121e+09,1.71121e+09,0.136923
1.71121e+09,1.71121e+09,0.0909206
1.71121e+09,1.71121e+09,0.136094
1.71121e+09,1.71121e+09,0.0883551
1.71121e+09,1.71121e+09,0.135768
1.71121e+09,1.71121e+09,0.0879173
1.71121e+09,1.71121e+09,0.0995676
1.71121e+09,1.71121e+09,0.12139
1.71121e+09,1.71121e+09,0.0884821
1.71121e+09,1.71121e+09,0.0910866
1.71121e+09,1.71121e+09,0.0986426
1.71121e+09,1.71121e+09,0.125591
1.71121e+09,1.71121e+09,0.087629
1.71121e+09,1.71121e+09,0.0884798
1.71121e+09,1.71121e+09,0.100545
1.71121e+09,1.71121e+09,0.124903
1.71121e+09,1.71121e+09,0.0889453
1.71121e+09,1.71121e+09,0.0885756
1.71121e+09,1.71121e+09,0.0956593
1.71121e+09,1.71121e+09,0.0992758
1.71121e+09,1.71121e+09,0.121932
1.71121e+09,1.71121e+09,0.0892608
1.71121e+09,1.71121e+09,0.0887756
1.71121e+09,1.71121e+09,0.0993004
1.71121e+09,1.71121e+09,0.100007
1.71121e+09,1.71121e+09,0.124612
1.71121e+09,1.71121e+09,0.126614
1.71121e+09,1.71121e+09,0.099673
1.71121e+09,1.71121e+09,0.123614
1.71121e+09,1.71121e+09,0.0921094
1.71121e+09,1.71121e+09,0.0882461
1.71121e+09,1.71121e+09,0.0962033
1.71121e+09,1.71121e+09,0.124812
1.71121e+09,1.71121e+09,0.0870691
1.71121e+09,1.71121e+09,0.0916196
1.71121e+09,1.71121e+09,0.0956215
1.71121e+09,1.71121e+09,0.100056
1.71121e+09,1.71121e+09,0.117465
1.71121e+09,1.71121e+09,0.094484
1.71121e+09,1.71121e+09,0.0924057
1.71121e+09,1.71121e+09,0.131806
1.71121e+09,1.71121e+09,0.138828
1.71121e+09,1.71121e+09,0.133589
1.71121e+09,1.71121e+09,0.136817
1.71121e+09,1.71121e+09,0.140233
1.71121e+09,1.71121e+09,0.140024
1.71121e+09,1.71121e+09,0.103269
1.71121e+09,1.71121e+09,0.115547
1.71121e+09,1.71121e+09,0.0876588
1.71121e+09,1.71121e+09,0.147375
1.71121e+09,1.71121e+09,0.164918
1.71121e+09,1.71121e+09,0.136033
1.71121e+09,1.71121e+09,0.172177
1.71121e+09,1.71121e+09,0.130553
1.71121e+09,1.71121e+09,0.148552
1.71121e+09,1.71121e+09,0.125484
1.71121e+09,1.71121e+09,0.153157
1.71121e+09,1.71121e+09,0.155419
1.71121e+09,1.71121e+09,0.139187
1.71121e+09,1.71121e+09,0.175028
1.71121e+09,1.71121e+09,0.136441
1.71121e+09,1.71121e+09,0.139298
1.71121e+09,1.71121e+09,0.154107
1.71121e+09,1.71121e+09,0.160611
1.71121e+09,1.71121e+09,0.135364
1.71121e+09,1.71121e+09,0.172215
1.71121e+09,1.71121e+09,0.130557
1.71121e+09,1.71121e+09,0.147291
1.71121e+09,1.71121e+09,0.101515
1.71121e+09,1.71121e+09,0.11917
1.71121e+09,1.71121e+09,0.086938
1.71121e+09,1.71121e+09,0.0919809
1.71121e+09,1.71121e+09,0.100059
1.71121e+09,1.71121e+09,0.117292
1.71121e+09,1.71121e+09,0.0881415
1.71121e+09,1.71121e+09,0.0995665
1.71121e+09,1.71121e+09,0.0942599
1.71121e+09,1.71121e+09,0.0999672
1.71121e+09,1.71121e+09,0.116925
1.71121e+09,1.71121e+09,0.090204
1.71121e+09,1.71121e+09,0.0954342
1.71121e+09,1.71121e+09,0.129107
1.71121e+09,1.71121e+09,0.0944317
1.71121e+09,1.71121e+09,0.10113
1.71121e+09,1.71121e+09,0.119523
1.71121e+09,1.71121e+09,0.0909187
1.71121e+09,1.71121e+09,0.0996384
1.71121e+09,1.71121e+09,0.131236
1.71121e+09,1.71121e+09,0.0867987
1.71121e+09,1.71121e+09,0.0970956
1.71121e+09,1.71121e+09,0.122037
1.71121e+09,1.71121e+09,0.0916832
1.71121e+09,1.71121e+09,0.0914614
1.71121e+09,1.71121e+09,0.0973915
