start time, end time, time duration
1.71132e+09,1.71132e+09,0.0506622
1.71132e+09,1.71132e+09,0.00730651
1.71132e+09,1.71132e+09,0.010889
1.71132e+09,1.71132e+09,0.00970772
1.71132e+09,1.71132e+09,0.00993695
1.71132e+09,1.71132e+09,0.0133535
1.71132e+09,1.71132e+09,0.013267
1.71132e+09,1.71132e+09,0.0145006
1.71132e+09,1.71132e+09,0.0101072
1.71132e+09,1.71132e+09,0.00990736
1.71132e+09,1.71132e+09,0.01279
1.71132e+09,1.71132e+09,0.0129697
1.71132e+09,1.71132e+09,0.00849298
1.71132e+09,1.71132e+09,0.0086561
1.71132e+09,1.71132e+09,0.0084292
1.71132e+09,1.71132e+09,0.0117186
1.71132e+09,1.71132e+09,0.00582214
1.71132e+09,1.71132e+09,0.013594
1.71132e+09,1.71132e+09,0.0123278
1.71132e+09,1.71132e+09,0.00567577
1.71132e+09,1.71132e+09,0.00938556
1.71132e+09,1.71132e+09,0.0121898
1.71132e+09,1.71132e+09,0.00884097
1.71132e+09,1.71132e+09,0.00853524
1.71132e+09,1.71132e+09,0.0103098
1.71132e+09,1.71132e+09,0.0103227
1.71132e+09,1.71132e+09,0.0110363
1.71132e+09,1.71132e+09,0.0112162
1.71132e+09,1.71132e+09,0.00931512
1.71132e+09,1.71132e+09,0.0118136
1.71132e+09,1.71132e+09,0.0130859
1.71132e+09,1.71132e+09,0.0162107
1.71132e+09,1.71132e+09,0.0146552
1.71132e+09,1.71132e+09,0.0167115
1.71132e+09,1.71132e+09,0.0218917
1.71132e+09,1.71132e+09,0.0228515
1.71132e+09,1.71132e+09,0.0151352
1.71132e+09,1.71132e+09,0.0176192
1.71132e+09,1.71132e+09,0.0189973
1.71132e+09,1.71132e+09,0.0186706
